    Ps have (part) atoms    1.0000
2    M    2.0000
3    M    3.0000
a    La is a radioactive isotope of lanthanum    0.8044
aardvark    Aardvarks have unusual appearances    1.0000
aardwolf    An aardwolf is a hyaena    1.0000
aba    An aba is a garment    1.0000
abacus    An abacus is a calculating machine    1.0000
abalone    Abalone is an univalve    1.0000
abalone specie    Abalone species are tropical coral reef dwelling species    0.7996
abandonment    Abandonment is disposals    1.0000
abatement    Abatement is mitigation    1.0000
abattoir    An abattoir is a building    1.0000
abbess    An abbess is a superior    1.0000
abbot    An abbot is a superior    1.0000
abbreviation    An abbreviation is a shortening    1.0000
abdication    Abdication is resignation    1.0000
abdomen    Abdomens have (part) guts    1.0000
abdominal    An abdominal is a striated muscle    1.0000
abdominal adhesion    Abdominal adhesions can cause intestinal obstruction, chronic pain and infertility in women    0.7409
abdominal breathing    Abdominal breathing are breathing    1.0000
abdominal compression    Abdominal compression produces pressure    1.0000
abdominal fat    Abdominal fat is related to worse health, including greater risk of heart disease and diabetes    0.7655
abdominal ganglion    Abdominal ganglia have connections to muscles, though usually fewer than thoracic ganglia    0.7801
abdominal migraine    Abdominal migraine is severe abdominal pain with nausea, vomiting, or loss of appetite    0.7692
abdominal muscle    Abdominal muscles are the intersection of the upper and lower body    0.8447
abdominal pain    Abdominal pain is the major sign of endometriosis    0.7330
abdominal pregnancy    Abdominal pregnancy is a maternity    1.0000
abdominal symptom    Abdominal symptoms follow infection    1.0000
abdominoplasty    An abdominoplasty is an operation    1.0000
abduction    Abductions maintain vertical humeruses    0.7001
abductive inference    Abductive inference is logical arguments    1.0000
abductor    Abductors are skeletal muscles    1.0000
abele    An abele is a tree    1.0000
abelia    An abelia is a bush    1.0000
aberrant    An aberrant is a person    1.0000
aberration    Aberration is mental disorder    1.0000
ability    Ability isa quality    1.0000
abiogenesis    Abiogenesis is a natural phenomenon    1.0000
abiotic condition    Abiotic conditions affect the distribution of organisms    0.7979
abiotic degradation    Abiotic degradation results in less transformation of a molecule than does biological degradation    0.7044
abiotic factor    Abiotic factors are the non living parts of an ecosystem    0.7594
abiotic synthesis    Abiotic synthesis produces a mixture of L and D enantiomers    0.7596
abjection    Abjection is humiliation    1.0000
ablation    Ablation is erosion    1.0000
ablation zone    Ablation zone is the area of tissue that is removed during laser surgery    0.7676
ableism    Ableisms are discrimination    1.0000
ablution    Ablution is a ritual    1.0000
abnormal apoptosis    Abnormal apoptosis contributes to diseases such as stroke, brain injury, and cancer    0.7846
abnormal behavior    Abnormal behavior is the natural reaction to an abnormal environment    0.7301
abnormal cell    Abnormal cells accumulate and interfere with the production of healthy blood cells    0.7943
abnormal cell growth    Abnormal cell growth results in development    1.0000
abnormal gene    Abnormal genes produce abnormal hemoglobin, which in turn produces abnormal red blood cells    0.7518
abnormal growth    Abnormal growth results in development    1.0000
abnormal heart    Abnormal heart rhythms, called arrhythmias, cause most sudden cardiac arrests    0.7066
abnormal keratin    Abnormal keratins make the skin fragile, causing it to blister easily    0.7083
abnormal lymphocyte    Abnormal lymphocytes have long microvilli and prominent membranous ruffles on their surfaces    0.8208
abnormal prion    Abnormal prions are the infectious agents believed to cause scrapie    0.7576
abnormal protein    Abnormal proteins serve as eukaryotic stress signals and trigger the activation of heat shock genes    0.7457
abnormal thirst    Abnormal thirsts are caused by damage    1.0000
abnormal tissue    Abnormal tissue is found only in the space inside the uterus    0.7416
abnormality    Abnormalities affect development    1.0000
abo gene    ABO genes are well conserved in mammals    0.7313
abode    An abode is an address    1.0000
abolition    Abolition is a conclusion    1.0000
abolitionism    An abolitionism is a doctrine    1.0000
abolitionist    An abolitionist is a person    1.0000
abomination    Abomination is transgression    1.0000
aboriginal    An aboriginal is a person    1.0000
aborigine    Aborigines are people    1.0000
abort    An abort is a conclusion    1.0000
aborted    Aborteds are bands    1.0000
abortifacient    Abortifacients are drugs or devices that induce abortion    0.7328
aborting    Abortings are medical treatments    1.0000
abortion pill    An abortion pill is a drug    1.0000
abortionist    Abortionists are doctors    1.0000
above consideration    Above consideration applies to types    1.0000
above diagram    Above diagrams illustrate importance    1.0000
abrasion    Abrasions are wounds in which the outer layer of the skin has been rubbed or scraped off    0.8086
abrasion resistance    Abrasion resistance is resistance afforded by a material to wear by friction    0.7334
abrasive    Abrasives are used to make the ends of wood pieces smooth and to smooth the cut ends of metal    0.7315
abreaction    Abreaction is a purging    1.0000
abruption    Abruption is an interruption    1.0000
abs    Abs are glycoproteins, containing sugars attached to protein    0.8658
abs plastic    ABS plastic consists of acrylonitrile, butadiene, and styrene    0.7350
abscess    Abscess is a symptom    1.0000
abscessed tooth    An abscessed tooth is abscess    1.0000
abscission    Abscission is the detachment of leaves, flowers, or fruits from a plant    0.8311
absent biological parent    Absent biological parents enter families    1.0000
absentee    Absentees are travelers    1.0000
absentee ballot    An absentee ballot is a ballot    1.0000
absenteeism    Absenteeism is absence    1.0000
absinthe    Absinthe is cordial    1.0000
absolute    An absolute is abstraction    1.0000
absolute alcohol    Absolute alcohol is an ethanol    1.0000
absolute humidity    Absolute humidity depends on current air temperature    1.0000
absolute magnitude    An absolute magnitude is a magnitude    1.0000
absolute monarchy    Absolute monarchies are monarchies    1.0000
absolute pitch    Absolute pitch is a sensory system    1.0000
absolute temperature    Absolute temperature is temperature    1.0000
absolute threshold    An absolute threshold is a threshold    1.0000
absolute value    Absolute values are norms    1.0000
absolution    Absolution is conditions    1.0000
absolutist    An absolutist is a follower    1.0000
absorbed beryllium    Absorbed beryllium is excreted mostly in the urine    0.7997
absorbed glycerol    Absorbed glycerol is utilized for energy production    0.7368
absorbed iron    Absorbed iron is bound in the bloodstream by the glycoprotein named transferrin    0.8083
absorbed lead    Absorbed lead is carried through the blood stream and is stored in various organs and tissues    0.7793
absorbent    Absorbent is a material    1.0000
absorbent material    Absorbent materials have texture    1.0000
absorber    Absorbers are absorbent materials    1.0000
absorptance    Absorptance is a coefficient    1.0000
absorption    Absorption is the movement of a chemical into a plant, animal or soil    0.7798
absorption line    Absorption lines are dark regions of an object's spectrum    0.7628
absorptive material    Absorptive materials absorb odors and waste as well as water    0.7009
absorptive nutrition    Absorptive nutrition enables fungi to live as decomposers and symbionts    0.7891
abstainer    An abstainer is a person    1.0000
abstention    Abstention is a self-discipline    1.0000
abstinence    Abstinence isa trait    1.0000
abstract    An abstract is a concept    1.0000
abstract art    Abstract art is a genre    1.0000
abstract artist    An abstract artist is a painter    1.0000
abstract concept    Abstract concepts require interpretations    1.0000
abstract thought    An abstract thought is a thought    1.0000
abstractor    An abstractor is an author    1.0000
absurdity    Absurdity is nonsense    1.0000
abundance    Abundances are ratios    1.0000
